Style No,Style Long Description,Back,Back,Back 2,Back 2,Back 2,Back 2,Edge,Edge,Edge,Edge,Edge 2,Edge 2,Edge 2,Edge 2,Front,Main,Main,Main,Main 2,Main 2,Main 2,Main 2,Model,Model,Model,Model,Model,Model,Model,Model 2,Profile,Profile,Top,Top,Assortment_Type,caratage_of_predom_mat_1,caratage_of_predom_mat_2,caratage_of_predom_mat_3,Closure Type,Commercial Reference,Country of Origin,Diamond Carat Weight,Fish_&_Wild,funct_hier_lvl4_item_shape,Gender,item_note,Launch Date - Wholesales (US),man_made_stones,measure_1,measure_3,measure_4,measure_5,merch_hier_lv2_sub_collection,merch_hier_lvl_collection,NFR Size Code,NRF_color_code,Predominant_Color_Descr,Primary Material,Product Description,Product Type,Retail Price,Retail Price - Dollar Sign,sales_life_cycle,season,Season Code,season_year,Size,stone_id_1,stone_id_2,stone_id_3,stone_id_4,supply_life_cycle,UPC Code,Variant No,Vendor Name,salsify:profile_asset_id
BGX340182DIXM-L,"WOMEN's Dot Hammered 18K Gold Diamond Pave(0.16ct) 1.2mm Chain Pull Through Bracelet with Lobster Clasp, Size M Adjustable to L",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--F1cPQCCq--/p25hfm0iogzqoggvxfkv.tiff,,,,,,,http://images.salsify.com/image/upload/s--flVxUanw--/nxradjvdawwnfaltmjnr.jpg,http://images.salsify.com/image/upload/s--F1cPQCCq--/p25hfm0iogzqoggvxfkv.tiff,,,,,,,,,,,NON CORE,18k,,,Lobster Clasp,BGX340182DIXM-L,TH,0.16,No,Other,WOMEN,,1/25/2019,No,0,1.2,54,12.5,Dot,Dot,,,,Gold,Dot Pull Through Bracelet in 18K Gold with Diamonds,Bracelet,1995,$,Newness,SPRING,S19,2019,M-L,White Diamond,,,,Launch/One Shot,8.25429E+12,BGX340182,John Hardy,
BGX9995902DIXM-L,"WOMEN's Classic Chain 18K Gold Diamond Pave (0.22ct) on 2mm Chain Pull Through Bracelet, Size M Adjustable to L",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--oIboliJm--/dsbwa3i1mqulrdowu06b.tiff,,,,,,,http://images.salsify.com/image/upload/s--w2ZJSFcA--/g4ntvk95gnev8vfducs8.jpg,,,,,,,,,,,,CORE,18k,,,,BGX9995902DIXM-L,TH,0.22,No,Station,WOMEN,CNY,1/25/2018,No,0,2,11,11,Classic,Chain,,,,Gold,Classic Chain Pull Through Bracelet in 18K Gold with Diamonds,Bracelet,2250,$,Active,SPRING,S18,2018,M-L,White Diamond,,,,Contributor,8.25429E+12,BGX9995902,John Hardy,
BM5342BLXM,"MEN's Bamboo Silver Black Leather Triple Wrap Bracelet with Magnetic Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--DNWvPWaT--/lueiiqhxl6nmt7jnoebo.jpg,http://images.salsify.com/image/upload/s--VOB5pmHP--/gzhstsctxthjy4kvaxo8.jpg,,,,,,http://images.salsify.com/image/upload/s--81pojeFG--/ollydiohhlyb89wuuwle.jpg,http://images.salsify.com/image/upload/s--xeuztByR--/o1h0rhannidp1c9z7aye.jpg,,,,,,,,,,,CORE,,,,Magnet Clasp,BM5342BLXM,ID,0,F&W,Wrap,MEN,,8/1/2010,No,0,12,0,0,Bamboo,Bamboo,78014,1,Black,Silver,Bamboo Wrap Bracelet in Silver,Bracelet,395,$,Active,FALL,F10,2010,M,,,,,Star,8.25429E+12,2_381_1185342,John Hardy,
BM90105BLXL,"MEN's Asli Classic Chain Link Silver Bracelet on 4mm Black Leather Cord with Pusher Clasp, Size L",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--dRyq_tiC--/avdcoh7aauhetxghdzh8.jpg,,,,,,,http://images.salsify.com/image/upload/s--_LUwkSB9--/ju8g7lt6aqdgiszzwbuk.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BM90105BLXL,ID,0,F&W,Station,MEN,,7/25/2018,No,0,4,33,13,Classic,Chain,78015,,,Silver,"Asli Classic Chain Link Station Bracelet, Silver with Leather",Bracelet,495,$,Active,FALL,F18,2018,L,,,,,Decline,8.25429E+12,BM90105,John Hardy,
BM90105BLXM,"MEN's Asli Classic Chain Link Silver Bracelet on 4mm Black Leather Cord with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--dRyq_tiC--/avdcoh7aauhetxghdzh8.jpg,,,,,,,http://images.salsify.com/image/upload/s--_LUwkSB9--/ju8g7lt6aqdgiszzwbuk.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BM90105BLXM,ID,0,F&W,Station,MEN,,7/25/2018,No,0,4,33,13,Classic,Chain,78014,,,Silver,"Asli Classic Chain Link Station Bracelet, Silver with Leather",Bracelet,495,$,Active,FALL,F18,2018,M,,,,,Contributor,8.25429E+12,BM90105,John Hardy,
BM90108XM,"MEN's Asli Classic Chain Link Silver Large Flat Chain Bracelet 11mm with Hook Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--Kx-h-3Nc--/rzle8lb4z3g3mv7vptfu.jpg,,,,,,,http://images.salsify.com/image/upload/s--giUj0xSz--/hzwj5qblkdzomr2dlg04.jpg,,,,,,,,,,,,NON CORE,,,,Hook Clasp,BM90108XM,ID,0,No,Woven,MEN,,7/25/2018,No,0,11,0,0,Classic,Chain,78014,,,Silver,Asli Classic Chain Link 11MM Bracelet in Silver,Bracelet,995,$,Active,FALL,F18,2018,M,,,,,Contributor,8.25429E+12,BM90108,John Hardy,
BM90147XM,"MEN's Classic Chain Silver Double Row Bracelet with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--SDm4xSRH--/vblv7b1k6offoiowmfrs.jpg,,,,,,,,,,,,,,,,,,,CORE,,,,Pusher Clasp,BM90147XM,ID,0,No,Multi Row,MEN,,1/25/2018,No,0,6.5,0,0,Classic,Chain,78014,,,Silver,Classic Chain 14MM Double Row Bracelet in Silver,Bracelet,995,$,Active,SPRING,S18,2018,M,,,,,Contributor,8.25429E+12,BM90147,John Hardy,
BM90264BLPVDXM,"MEN's Classic Chain Silver 4mm Box Chain Bracelet with Pusher Clasp with Black PVD, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--Up2iOr-Y--/hck5reb7rp8il3wovhlv.jpg,,,,,,,http://images.salsify.com/image/upload/s--RiYZ9dWB--/oco8tnucsylrijeqtt4a.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BM90264BLPVDXM,ID,0,No,Link,MEN,,9/28/2018,No,0,4,0,0,Classic,Chain,78014,,,Silver,Classic Chain 4MM Box Chain Bracelet in Blacked Silver,Bracelet,295,$,Active,FALL,F18-CO,2018,M,,,,,Decline,8.25429E+12,BM90264BL,John Hardy,
BM90264OZXM,"MEN's Classic Chain Silver Bracelet on 4mm Bronze Box Chain with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--CP-3Tikf--/c6aydcijjfixguchjmzj.jpg,,,,,,,http://images.salsify.com/image/upload/s--NXjF76ym--/pvxsbu8h4eeukuvvsgtz.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BM90264OZXM,ID,0,No,Link,MEN,,9/28/2018,No,0,4,0,0,Classic,Chain,78014,,,Silver and Bronze,Classic Chain 4MM Box Chain Bracelet in Bronze and Silver,Bracelet,250,$,Active,FALL,F18-CO,2018,M,,,,,Decline,8.25429E+12,BM90264OZ,John Hardy,
BM90264XM,"MEN's Classic Chain Silver 4mm Box Chain Bracelet with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--nKICAfHO--/v8xacy9q6p4bspf1qgfy.jpg,,,,,,,http://images.salsify.com/image/upload/s--lzMgqVht--/lppr03iqjqma4nqoevpz.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BM90264XM,ID,0,No,Link,MEN,,9/28/2018,No,0,4,0,0,Classic,Chain,78014,,,Silver,Classic Chain 4MM Box Chain Bracelet in Silver,Bracelet,275,$,Active,FALL,F18-CO,2018,M,,,,,Decline,8.25429E+12,BM90264,John Hardy,
BM90288XM,"MEN's Asli Classic Chain Link Silver 6mm Box Chain Bracelet with Hook Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--PQB0y68_--/ru3ldm3ku2mqfkolmnga.tiff,,,,,,,http://images.salsify.com/image/upload/s--IKSgGKXK--/qmrx4cok4rusxjttypiy.jpg,http://images.salsify.com/image/upload/s--cO9lv-pH--/qpmwpggpfjds7hq9hep7.jpg,http://images.salsify.com/image/upload/s--TrlXqV3p--/kzt4hp6lemwggzebvmwx.jpg,http://images.salsify.com/image/upload/s--PQB0y68_--/ru3ldm3ku2mqfkolmnga.tiff,,,,,,,,,NON CORE,,,,Pusher Clasp,BM90288XM,ID,0,No,Woven,MEN,,1/25/2019,No,0,6,0,0,Classic,Chain,78014,,Silver,Silver,Asli Classic Chain Link 6MM Bracelet in Silver,Bracelet,595,$,Newness,SPRING,S19,2019,M,,,,,Launch/One Shot,8.25429E+12,BM90288,John Hardy,
BM90300XM,"MEN's Asli Classic Chain Link Silver Curb Link Bracelet 15mm with Hook Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--xRJo8mmq--/cjpp42goy658ka1vk0a8.tiff,,,,,,,http://images.salsify.com/image/upload/s--qDIBxoEw--/wamcmstreus9a1ehhy6s.jpg,http://images.salsify.com/image/upload/s--xRJo8mmq--/cjpp42goy658ka1vk0a8.tiff,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BM90300XM,ID,0,No,Link,MEN,,1/25/2019,No,0,15,0,0,Classic,Chain,78014,,,Silver,Asli Classic Chain Link 15MM Bracelet in Silver,Bracelet,1195,$,Newness,SPRING,S19,2019,M,,,,,Launch/One Shot,8.25429E+12,BM90300,John Hardy,
BM932651BLXM,"MEN's Classic Chain Silver Jawan Bracelet on 4mm Black Woven Leather with Pusher Clasp, Size M",,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--p2Vy52rb--/zblpbcv4l5edbradhkmb.jpg,http://images.salsify.com/image/upload/s--HFiou24J--/jqyaikljino3tiezb6s7.jpg,,,,,,,,,,,CORE,,,,Pusher Clasp,BM932651BLXM,ID,0,F&W,Station,MEN,,8/15/2017,No,0,4,28.5,6,Classic,Chain,78014,1,Black,Silver,"Chain Jawan 4MM Station Bracelet in Silver, Leather",Bracelet,395,$,Active,FALL,F17,2017,M,,,,,Star,8.25429E+12,BM932651,John Hardy,
BM94045CXL,"MEN's Classic Chain Silver Large Flat Chain Bracelet, Size L",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--jdVcxd1M--/ve8dlxnvibizhu8wwtbt.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BM94045CXL,ID,0,No,Woven,MEN,,10/1/2016,No,0,11,0,0,Classic,Chain,78015,,,Silver,,Bracelet,975,$,Active,FALL,F95,1995,L,,,,,Contributor,8.25429E+12,,John Hardy,
BM9793XM,"MEN's Classic Chain Silver Medium Woven Bracelet, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--DP8qnLs5--/dzgx7dsqz5af0pbjcu7q.jpg,,,,,,,http://images.salsify.com/image/upload/s--VGsyPp_0--/zzkxzcuvbhlmxvplfuwc.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BM9793XM,ID,0,No,Woven,MEN,,2/1/2010,No,0,7.5,0,0,Classic,Chain,78014,,,Silver,Classic Chain 7.5MM Woven Bracelet in Silver,Bracelet,795,$,Active,SPRING,S10,2010,M,,,,,Contributor,8.25429E+12,2_407_1189793,John Hardy,
BM99795MBRDXM,"MEN's Classic Chain Silver Large Flat Chain Bracelet with Matte Black Rhodium Plating 11mm, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--_Pohoh1z--/hukicwp5rhzzuykxpgrk.jpg,http://images.salsify.com/image/upload/s--kU8CbGId--/wjxa8eycgtof5dd0ub07.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Pusher Clasp,BM99795MBRDXM,TH,0,No,Woven,MEN,,10/1/2016,No,0,11,0,0,Classic,Chain,78014,,,Silver,Classic Chain 11MM Bracelet in Blackened Silver,Bracelet,995,$,Active,FALL,F16-CO,2016,M,,,,,Star,8.25429E+12,BM99795B,John Hardy,
BM999540XM,"MEN's Classic Chain Silver ID Bracelet on Large Flat Chain with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--mBZdurwM--/vj6g5jamqlo83cwsfjcv.jpg,http://images.salsify.com/image/upload/s--tGGW1PL6--/ao7kj72o1h6fnk9h6eu5.jpg,,,,,,,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BM999540XM,ID,0,No,ID,MEN,,1/25/2017,No,0,11,53,13,Classic,Chain,78014,,,Silver,Classic Chain 11MM ID Bracelet in Silver,Bracelet,995,$,Active,SPRING,S17,2017,M,,,,,Contributor,8.25429E+12,BM999540,John Hardy,
BM999655XM,"MEN's Classic Chain Silver Link Bracelet with Lobster Clasp, Size M",,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s---YHGe2WB--/hhfdnuax8nrh26ht3imp.jpg,http://images.salsify.com/image/upload/s--hJTKkLtP--/y8ahskferxklvnb9obx1.jpg,,,,,,,,,,,CORE,,,,Lobster Clasp,BM999655XM,ID,0,No,Link,MEN,,8/15/2017,No,0,7,0,0,Classic,Chain,78014,,,Silver,Classic Chain 7MM Link Bracelet in Silver,Bracelet,695,$,Active,FALL,F17,2017,M,,,,,Contributor,8.25429E+12,BM999655,John Hardy,
BM9996561BLXM,"MEN's Classic Chain Silver Bracelet on 12mm Braided Black Leather with Lobster Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--a1FhaFBs--/fkso1nbjs6zcuqypbz0j.jpg,,,,,,,,,,,,,,,,,,,CORE,,,,Lobster Clasp,BM9996561BLXM,ID,0,F&W,Station,MEN,,8/15/2017,No,0,11,34.5,20.5,Classic,Chain,78014,1,Black,Silver,Classic Chain 12MM Ring Clasp Bracelet in Silver and Leather,Bracelet,495,$,Active,FALL,F17,2017,M,,,,,Star,8.25429E+12,BM9996561,John Hardy,
BM9997181BLXM,"MEN's Modern Chain Silver Station Bracelet on 15mm Black Leather with Hook Clasp, Size M",,,,,,,http://images.salsify.com/image/upload/s--wKP7VJPT--/qhh7sbkrz0gh2h4y3zod.jpg,,,,,,,,,http://images.salsify.com/image/upload/s--UiFbevcw--/vrcss7i32kjsdfqnrbj1.jpg,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--g1Ec7p8o--/x1azst2t1ujourybpmse.jpg,,,,NON CORE,,,,Hook Clasp,BM9997181BLXM,ID,0,F&W,Station,MEN,,2/15/2018,No,0,15,57.5,18,Modern,Chain,78014,1,Black,Silver,Modern Chain Station Bracelet in Silver and Leather,Bracelet,348.5,$,Active,SPRING,S18,2018,M,,,,,Decline,8.25429E+12,BM9997181,John Hardy,
BM999726BLXM,"MEN's Classic Chain Silver Half Cuff Bracelet on 5mm Black Woven Leather with Hook Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--pGJhVufv--/yg4qjsrhafvtje4e9wfi.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Hook Clasp,BM999726BLXM,ID,0,F&W,Other,MEN,,1/25/2018,No,0,5,0,0,Classic,Chain,78014,1,Black,Silver,Classic Chain Half Cuff Bracelet in Silver and Leather,Bracelet,695,$,Active,SPRING,S18,2018,M,,,,,Contributor,8.25429E+12,BM999726,John Hardy,
BM999964BLXM,"MEN's Classic Chain Silver Black Woven Leather Bracelet 12mm with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--juLb81bT--/uuiv5ajnyjdivehn9p8i.jpg,http://images.salsify.com/image/upload/s--TC_PDLe---/fmhkrlbxp0g0nzuawj2m.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Pusher Clasp,BM999964BLXM,ID,0,F&W,Station,MEN,,1/25/2016,No,0,12,24.5,12,Classic,Chain,78014,1,Black,Silver,Classic Chain 12MM Station Bracelet in Silver and Leather,Bracelet,395,$,Active,SPRING,S16,2016,M,,,,,Star,8.25429E+12,2_407_118999964,John Hardy,
BM999975XM,"MEN's Modern Chain Silver Medium Bracelet (9x4.5mm) with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--4IPUyslA--/opcjaxuhjj9ycylwkmvq.jpg,http://images.salsify.com/image/upload/s--nLSbXlcZ--/qfwq0scsyg24c4mtbpma.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Pusher Clasp,BM999975XM,ID,0,No,Woven,MEN,,7/20/2016,No,0,9,0,0,Modern,Chain,78014,,,Silver,Modern Chain 9MM Bracelet in Silver,Bracelet,995,$,Active,FALL,F16,2016,M,,,,,Star,8.25429E+12,BM999975,John Hardy,
BMS60126BRDPYXL,"MEN's Legends Naga Silver Double Wrap Bracelet on 7.6mm Chain with 8mm Pyrite Beads with Black Rhodium and Blue Sapphire Eyes, Size L",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--L9fo-lcu--/edon9oyonknmwhn6z8mf.jpg,,,,,,,http://images.salsify.com/image/upload/s--4qY8FNhr--/z4m18xteismzaptnd9ve.jpg,,,,,,,,http://images.salsify.com/image/upload/s--tjH9IwFV--/c3qay62dgnfjab2jy5g2.jpg,,,,NON CORE,,,,Puller Clasp,BMS60126BRDPYXL,TH,0,No,Wrap,MEN,,8/20/2018,No,0,7.6,0,0,Naga,Legends,78015,,Gold,Silver,"Legends Naga Double Wrap Bracelet, Blackened Silver, 8MM Gem",Bracelet,795,$,Active,FALL,F18,2018,L,Blue Sapphire,Pyrite,,,Decline,8.25429E+12,BMS60126B,John Hardy,
BMS60142BSPXL,"Men's Legends Naga Silver Extra-Large Bracelet (16x6mm) with Blue Sapphire Eyes, Size L",,,,,,,http://images.salsify.com/image/upload/s--fDrvvu-5--/qpxyp6l2h0c97ebqehly.jpg,,,,,,,,,http://images.salsify.com/image/upload/s--ZdU1udik--/boqfgnjoyhw5v4vqzw7h.jpg,,,,,,,http://images.salsify.com/image/upload/s--IB45fgLx--/z5xvr2immkvwespmqlgi.jpg,,,,,,,,http://images.salsify.com/image/upload/s--oXSq4Zba--/e4xhuc9pohmohywyjusw.jpg,,,,NON CORE,,,,Puller Clasp,BMS60142BSPXL,ID,0,No,Station,MEN,,8/20/2018,No,0,16,73.5,19.5,Naga,Legends,78015,,,Silver,Legends Naga 16MM Station Bracelet in Silver,Bracelet,2200,$,Active,FALL,F18,2018,L,Blue Sapphire,,,,Decline,8.25429E+12,BMS60142,John Hardy,
BMS60142BSPXM,"Men's Legends Naga Silver Extra-Large Bracelet (16x6mm) with Blue Sapphire Eyes, Size M",,,,,,,http://images.salsify.com/image/upload/s--fDrvvu-5--/qpxyp6l2h0c97ebqehly.jpg,,,,,,,,,http://images.salsify.com/image/upload/s--ZdU1udik--/boqfgnjoyhw5v4vqzw7h.jpg,,,,,,,http://images.salsify.com/image/upload/s--IB45fgLx--/z5xvr2immkvwespmqlgi.jpg,,,,,,,,http://images.salsify.com/image/upload/s--oXSq4Zba--/e4xhuc9pohmohywyjusw.jpg,,,,NON CORE,,,,Puller Clasp,BMS60142BSPXM,ID,0,No,Station,MEN,,8/20/2018,No,0,16,73.5,19.5,Naga,Legends,78014,,,Silver,Legends Naga 16MM Station Bracelet in Silver,Bracelet,2200,$,Active,FALL,F18,2018,M,Blue Sapphire,,,,Decline,8.25429E+12,BMS60142,John Hardy,
BMS6511522BLBSPXM,"MEN's Legends Naga Silver Bracelet on 10mm Braided Black Leather with Blue Sapphire Eyes, Size M",,,,,,,http://images.salsify.com/image/upload/s--IYEYzHGe--/kgrfkdczke1lvmrumkod.jpg,,,,,,,,,http://images.salsify.com/image/upload/s--lADcsXZ1--/rbgz6cdtfde2vivjjig0.jpg,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--GCbr6Xvh--/lawngy9w8oer3dona1v6.jpg,,,,CORE,,,,Puller Clasp,BMS6511522BLBSPXM,ID,0,F&W,Station,MEN,,7/25/2017,No,0,10,56,13,Naga,Legends,78014,1,Black,Silver,"Legends Naga 10MM Station Bracelet in Silver, Leather",Bracelet,495,$,Active,FALL,F17,2017,M,Blue Sapphire,,,,Star,8.25429E+12,BMS6511522,John Hardy,
BMS656861OZBRDBLXM,"MEN's Legends Naga Silver Double Wrap Bronze Ring Bracelet on Black Nylon Cord 6mm with Black Rhodium and Blue Sapphire Eyes, Size M",,,,,,,http://images.salsify.com/image/upload/s--99sOLaD9--/stm9jr57am1bkwfenimo.jpg,,,,,,,,,http://images.salsify.com/image/upload/s--0oTKZtht--/pxpilejcptcxej3uuctf.jpg,,,,,,,http://images.salsify.com/image/upload/s--1bDfPq8I--/yshfq3n8yputo31beetn.jpg,,,,,,,,http://images.salsify.com/image/upload/s--VXId4kC1--/jrk2wocfcgctrl3miqdj.jpg,,,,CORE,,,,Puller Clasp,BMS656861OZBRDBLXM,TH,0,No,Wrap,MEN,,8/20/2018,No,0,6,0,0,Naga,Legends,78014,1,Black,Silver and Bronze,Legends Naga Wrap Bracelet In Blackened Silver and Bronze,Bracelet,450,$,Active,FALL,F18,2018,M,Blue Sapphire,,,,Decline,8.25429E+12,BMS656861BOZ,John Hardy,
BMS90146TIREKWXS,"MEN's Classic Chain Silver Double Row Bracelet with Hook Clasp with 6mm Tiger Iron Beads, 6mm Riverstone Beads and 6mm Kokka Wood Beads, Size S",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--MgqV3i16--/nkhjeesmcf6ltij4quhj.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Hook Clasp,BMS90146TIREKWXS,TH,0,Wood,Bead,MEN,,3/25/2018,No,0,6,0,0,Classic,Chain,78013,20,Grey,Silver,"Classic Chain Double Row Bead Bracelet in Silver, Gemstone",Bracelet,298.5,$,Active,SPRING,S18,2018,S,Tiger Iron,Riverstone,,,Decline,8.25429E+12,BMS90146,John Hardy,
BMS99004BONXM-L,"MEN's Classic Chain Silver Round Beads Pull Through Bracelet on Black Cord with Black Onyx, Size M Adjustable to L",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--ZlMOs5Yr--/rbgtzsbakqv3qyrpsfr5.jpg,,,,,,,http://images.salsify.com/image/upload/s--oFit6tPr--/jw6txhoik4zthf4cfurg.jpg,,,,,,,,,,,,CORE,,,,,BMS99004BONXM-L,ID,0,No,Bead,MEN,,8/15/2011,No,0,3,0,0,Classic,Chain,,1,Black,Silver,Men's Classic Chain Pull Through Bead Bracelet in Silver,Bracelet,250,$,Active,FALL,F11,2011,M-L,Black Onyx,,,,Star,8.25429E+12,2_408_11899004,John Hardy,
BMS9996193CRYXM,"MEN's Classic Chain Silver Multi Station Bracelet with Pusher Clasp with 5mm Chrysocolla Beads, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--thrzgLrl--/xmmgovidsnx5vq3ead08.jpg,,,,,,,,,,,,,,,,,,,CORE,,,,Pusher Clasp,BMS9996193CRYXM,TH,0,No,Bead,MEN,,1/25/2018,No,0,5,0,0,Classic,Chain,78014,400,Blue,Silver,Classic Chain Bead Bracelet in Silver with 5MM Gemstone,Bracelet,395,$,Active,SPRING,S18,2018,M,Chrysocolla,,,,Star,8.25429E+12,BMS9996193,John Hardy,
BMS99965614BLBLSBNXS,"MEN's Classic Chain Silver Ring Clasp Bracelet on 12mm Braided Black Leather with Lobster Clasp with Black Sapphire and Black Spinel, Size S",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--QOkDYAO3--/qqg0kijjqltrwtf2vm5n.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Lobster Clasp,BMS99965614BLBLSBNXS,TH,0,F&W,Station,MEN,,1/25/2018,No,0,12,34.5,20.5,Classic,Chain,78013,1,Black,Silver,"Classic Chain 12MM Ring Clasp Bracelet, Silver, Gem, Leather",Bracelet,558.5,$,Active,SPRING,S18,2018,S,Black Spinel,Black Sapphire,,,Decline,8.25429E+12,BMS99965614,John Hardy,
BMS999677BDOBONVOXM,"MEN's Classic Chain Silver Bracelet with Pusher Clasp with 8, 10 & 12mm Boulder Opal with 8mm Matte Black Onyx and 8mm Black Volcanic Beads, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--6UMfQ19m--/nqesvzwof3y18fk7kych.jpg,,,,,,,http://images.salsify.com/image/upload/s--Bi3KZOa3--/p8nixuzi4uqzjs1w4f8i.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BMS999677BDOBONVOXM,TH,0,No,Bead,MEN,,8/15/2017,No,0,12,0,0,Classic,Chain,78014,200,Brown,Silver,Classic Chain Bead Bracelet in Silver with Gemstone,Bracelet,495,$,Active,FALL,F17,2017,M,Boulder Opal,Black Onyx,Black Volcanic,,Star,8.25429E+12,BMS999677,John Hardy,
BMS999677HEVOXM,"MEN's Classic Chain Silver Bracelet with Pusher Clasp with 8, 10 & 12mm Hematite and 8mm Black Volcanic Beads, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--u3Vj9-Jp--/dr4gycexybmivmschmlo.jpg,,,,,,,http://images.salsify.com/image/upload/s--fsX3qJAH--/obk0nst9gxogqkrpn4ih.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BMS999677HEVOXM,TH,0,No,Bead,MEN,,8/15/2017,No,0,12,0,0,Classic,Chain,78014,1,Black,Silver,Classic Chain Bead Bracelet in Silver with Gemstone,Bracelet,395,$,Active,FALL,F17,2017,M,Hematite,Black Volcanic,,,Star,8.25429E+12,BMS999677,John Hardy,
BMS9999754BLSXM,"MEN's Modern Chain Silver Medium Bracelet (9x4.5mm) with Pusher Clasp with Black Sapphire, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--j4bKU75T--/c7w4lpzujamogzcqmzfr.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BMS9999754BLSXM,TH,0,No,Woven,MEN,USED TO BE OMNI,9/25/2017,No,0,9,0,0,Modern,Chain,78014,1,Black,Silver,Modern Chain 9MM Bracelet in Silver with Gemstone,Bracelet,1295,$,Active,FALL,F16,2016,M,Black Sapphire,,,,Contributor,8.25429E+12,BMS9999754,John Hardy,
BZ33666XM,"WOMEN's Dot Deco Gold & Silver Small Bracelet, Size M BG",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--lcTtvTZ9--/jno7n6ml9sqckc2nh7io.jpg,http://images.salsify.com/image/upload/s--KcFMvIrC--/zkpgkc35nolif9ksh8h7.jpg,,,,,,http://images.salsify.com/image/upload/s--3rxKkCYu--/g6s0spauu6seneljmqrf.jpg,http://images.salsify.com/image/upload/s--ZJL5Xrt3--/revl5wdd8uj2loqcwmc6.jpg,,,,,,,,,,,CORE,,18k Bonded,,Pusher Clasp,BZ33666XM,ID,0,No,Woven,WOMEN,,2/1/2011,No,0,6.5,0,0,Dot,Dot,78014,,,Silver and Gold,Dot 6.5MM Bracelet in Silver and 18K Gold,Bracelet,650,$,Active,SPRING,S11,2011,M,,,,,Star,8.25429E+12,1_436_11833666,John Hardy,
